,Unnamed: 0,Text,emotions,category,labels
79,80,Dine in or takeout. #doordash #chownow https://t.co/KiBFKuOJhJ,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
80,81,Dine in or takeout. #doordash #chownow https://t.co/XCw9pokEjR,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
82,83,"Happy Tuesday Maruca’s fans! Tell us, what’s your favorite topping? 

Want a taste? 🍕 Call for pickup, stop by, or order online for delivery with #chownow #slice #doordash #grubhub and #ubereats @ Maruca's Pizza https://t.co/mpVLC1kwMT",others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
83,84,Enjoy a midday treat at Mert’s! Order Online! #chownow #doordash https://t.co/3KlcgXYb6k,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
90,91,Come join us for lunch or order online! #doordash #chownow https://t.co/VFwrsO4l94,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
94,95,Come on in or order online!#doordash #chownow https://t.co/vvxm4Zt3Is,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
96,97,Come on in or order online #doordash #chownow https://t.co/htEJ1g6Em2,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
97,98,Come on in to Mert’s! Or order online! #doordash #chownow https://t.co/8rGkF6o2rf,others,others,"('n', 'n', 'n', 'n', 'n', 'n', 'y')"
26,26,"Why is the #ChowNow order tracker so bad

I got an ETA from the site that's been off by like 30 minutes so far 

If it's taking more time/going to take extra time, that happens/that's to be expected, but TELL the customer that ffs",disgust,disgust,"('y', 'n', 'n', 'n', 'n', 'n', 'n')"
0,0,Let us take care of your sweet tooth today! Come and enjoy any of our fantastic cakes today! Order online #doordash #chownow https://t.co/JQo5PcONrf,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
2,2,Come and enjoy some Salmon Cakes today with your choice of two sides! Order online #doordash #chownow https://t.co/RVlVpv3mtZ,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
3,3,Start your weekend off right with us at Mert’s today and save room for one of our amazing desserts! Order online #doordash #chownow https://t.co/5XgH01Y2mV,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
4,4,Start your weekend off right with us at Mert’s today for lunch! Order online #doordash #chownow https://t.co/jdNpHg92LS,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
6,6,Hope everyone is having a good day! Join us for lunch today! #doordash #chownow https://t.co/fvm0ukWVJa,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
9,9,Come and try a slice of our Sweet Potato Cake today at Mert’s! Order online #doordash #chownow https://t.co/0wU7A7nW1F,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
11,11,Come into Mert’s today and enjoy Barbecue Beef Ribs with your choice of two sides! Order online #chownow #doordash https://t.co/WFKEVM5QFk,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
12,12,"Proud to show our support @TXRestAssoc #TXRestaurantShow in Dallas. Was a great chance for us to meet up with #ChowNow restaurant partners, industry friends, and make some new connections! https://t.co/v2z0d3Otqa",joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
13,13,Come and enjoy a salad with homemade Cranberry Vinaigrette today at Mert’s today! Order online #doordash #chownow https://t.co/r6fpRIcZqz,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
20,20,Let us take care of lunch today at Mert’s! #doordash #chownow https://t.co/p9UDXSxCcF,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
21,21,Come and enjoy Mom’s Meatloaf with your choice of two sides and cornbread today at Mert’s! Order online #doordash #chownow https://t.co/opuT8uq463,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
23,23,Come and indulge your sweet tooth today with us at Mert’s! Order online #doordash #chownow https://t.co/diSFYF1uqt,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
28,29,Come and grab some fried chicken today to celebrate #nationalfriedchickenday with us at Mert’s! Order online #doordash #chownow https://t.co/rBbH9W8IWo,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
29,30,Come into Mert’s for lunch today and make sure to save room for one of our wonderful cakes! Order online #doordash #chownow https://t.co/q5EtBnZIZw,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
39,40,Come into Mert’s today and enjoy a refreshing salad or order online #doordash #chownow https://t.co/IB0ZJ5JiOC,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
40,41,Come and get your sweet tooth fix at Mert’s today! #doordash #chownow https://t.co/atStU00kOZ,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
41,42,Come and get Mom’s Meatloaf today at Mert’s! #chownow #doordash https://t.co/h81ycDwkLU,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
42,43,Come down to Mert’s today and enjoy lunch with us or order online with #doordash #chownow https://t.co/D2zlj4GTbn,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
43,44,Come and start the weekend with some World Famous Salmon Cakes at Mert’s or order online! #chownow #doordash https://t.co/EJyf1iS54u,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
44,45,"Come on in and enjoy our Southern food, dine in or takeout! #doordash #chownow https://t.co/cUykPKNSNs",joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
45,46,Have a better day with some good soul food! #doordash #chownow https://t.co/7ztCCjOSIE,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
46,47,Come and enjoys Mom’s Meatloaf today at Mert’s or Order Online! #doordash #chownow https://t.co/JLaMjI4trw,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
47,48,Come to Mert’s and join us for the long holiday weekend! Or order our amazing Salmon Cakes to go with #doordash #chownow https://t.co/8CXc68sU6L,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
48,49,Come and enjoy the weekend with us at Mert’s today or Order Online #doordash #chownow https://t.co/rAl6gBEEJf,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
49,50,Come on into Mert’s and spoil your father today with some soul food! HAPPY FATHERS DAY! Or order online with #doordash #chownow https://t.co/uoZyoIlBam,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
50,51,And so is Southern food! Grab a bite to eat or get it to go! #doordash #chownow https://t.co/mOgCRPzAet,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
51,52,Come on down to Mert’s and satisfy your sweet tooth with a slice of our Red Velvet Cake today! Or order online with #doordash #chownow https://t.co/yZC8afv6zf,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
53,54,Come on in to Mert’s and join us for lunch! #doordash #chownow https://t.co/4joz9HkAHF,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
54,55,Great Southern Food! Dine in or takeout! #doordash #chownow https://t.co/qiem9DbNKo,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
59,60,We got some good Southern food! Makes you feel like you’re at home! #doordash #chownow https://t.co/Oydsjecq1W,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
60,61,Join us for dinner! We have crab cakes for our special tonight. #doordash #chownow https://t.co/vqHtKNmbSR,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
61,62,One into Mert’s today and enjoy some of our Jumbo Wings! Or order online with #doordash #chownow https://t.co/VKsxTIV27W,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
63,64,Come and enjoy a sweet treat with lunch at Mert’s today! Order online with #doordash #chownow https://t.co/EfC2vEWFar,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
64,65,Come and treat yourself with a slice of Banana Cream Cake at Mert’s or Order Online #doordash  or #chownow https://t.co/TBvIbf7mb6,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
65,66,Come and enjoy some Southern Fried Chicken with a choice of sides and a piece of homemade cornbread at Mert’s today or Order Online with #doordash or #chownow! https://t.co/TYs6BGkRI3,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
66,67,Come and enjoy some Jumbo Wings with us at Mert’s or Order Online with #doordash or #chownow https://t.co/oMvxChtJeG,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
68,69,Come on down to Mert’s and enjoy some lunch with us today! Or order online with #doordash or #chownow. https://t.co/zt6JXjK9ms,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
69,70,"Don’t let the rain ruin your day! Stop by, call for takeout or order online for delivery with #slice #chownow #doordash #grubhub and #ubereats 

Come hang out with us! Jerry LaStella Music will be playing from 3-7!🍕🍻🎶 https://t.co/kvcnjmi9ww",joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
73,74,Enjoy our Wings today! Winston Salem style or plain! #doordash #chownow https://t.co/jHmGElHRAD,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
75,76,Come on down and enjoy our Winton Salem Wings or order online! #doordash #chownow https://t.co/5Da5lWBiJe,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
76,77,Come enjoy a midday treat at Mert’s or order online! #doordash #chownow https://t.co/rGJEOroMWN,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
77,78,Come on down to Mert’s and enjoy some cake with your #bestfriend for #bestfriendsday or order online! #chownow #doordash #bestfriendsday❤️ https://t.co/h61o8mvicS,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
81,82,Come choose from our amazing sides and enjoy some cornbread here at Mert’s! Order online! #doordash #chownow https://t.co/5BgTtO3KTw,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
84,85,Come enjoy lunch with us today at Mert’s! Or order online with #doordash or #chownow! https://t.co/4S2nVI5kCC,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
85,86,"Bagel picnics are high on our list of favorite picnics 🥯 
credit: @natsneatteats at @bkbagelny #EatLocal #ChowNow @ Washington Square Park https://t.co/hqe07ZX1Zs",joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
86,87,Come enjoy a nice slice of cake and beat the Mondays! Or order online! #doordash #chownow https://t.co/MhlKQVVA2m,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
87,88,Come on down and enjoy our chicken sandwich with us at Mert’s or Order Online! #doordash #chownow https://t.co/JMz1VcFhWv,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
88,89,Come on in or Order Online! Start the week off with Mert’s! #chownow #doordash https://t.co/w7BQJCKAlS,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
89,90,Makes you feel good and inspiring? Come join us! #doordash #chownow https://t.co/mgyGXR7d9z,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
91,92,Come in and enjoy a slice of cake at Mert’s or Order Online! #doordash #chownow https://t.co/k4kJUZaCDS,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
92,93,Come on down to Mert’s or Order Online! A true family experience! #doordash #chownow https://t.co/7bCNdDc6qI,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
93,94,Come on in and enjoy todays special of Chicken Pot Pie with your choice of two sides and a piece of homemade cornbread! Order Online #doordash #chownow https://t.co/JYamwxVVdD,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
95,96,Come enjoy todays special Chicken Pot Pie with your choice of two sides and a piece of homemade cornbread! Or order online! #doordash #chownow https://t.co/S8cXyFFu9h,joy,joy,"('n', 'y', 'n', 'n', 'n', 'n', 'y')"
7,7,"Signaling tough times ahead, #ChowNow lays off employees – @TechCrunch https://t.co/LUYqGkpD0E https://t.co/yyMWntqHto",sadness,sadness,"('n', 'n', 'n', 'y', 'y', 'n', 'n')"
