iter	Passed	Remaining
486	5869	6182
487	5881	6170
488	5894	6160
489	5907	6149
490	5919	6137
491	5931	6124
492	5943	6111
493	5955	6099
494	5967	6087
495	5979	6075
496	5991	6063
497	6005	6053
498	6020	6044
499	6073	6073
500	6110	6086
501	6130	6081
502	6147	6074
503	6161	6063
504	6174	6052
505	6187	6041
506	6201	6030
507	6215	6019
508	6228	6008
509	6242	5997
510	6256	5986
511	6269	5975
512	6282	5964
513	6297	5954
514	6310	5942
515	6324	5931
516	6337	5921
517	6350	5908
518	6362	5897
519	6376	5886
520	6389	5874
521	6404	5864
522	6419	5854
523	6431	5842
524	6447	5833
525	6460	5822
526	6474	5810
527	6486	5798
528	6499	5786
529	6511	5774
530	6527	5765
531	6557	5768
532	6587	5771
533	6605	5764
534	6619	5753
535	6645	5752
536	6659	5741
537	6671	5729
538	6683	5716
539	6695	5703
540	6707	5690
541	6720	5678
542	6731	5665
543	6743	5652
544	6753	5638
545	6764	5624
546	6776	5611
547	6787	5598
548	6798	5584
549	6810	5571
550	6821	5559
551	6834	5546
552	6846	5533
553	6858	5521
554	6869	5508
555	6882	5495
556	6893	5482
557	6905	5470
558	6917	5457
559	6931	5446
560	6943	5433
561	6955	5421
562	6967	5408
563	6980	5396
564	6992	5383
565	7003	5370
566	7015	5357
567	7029	5346
568	7041	5333
569	7053	5321
570	7065	5308
571	7077	5296
572	7089	5283
573	7101	5270
574	7113	5258
575	7128	5247
576	7140	5234
577	7152	5222
578	7164	5209
579	7177	5197
580	7188	5184
581	7200	5171
582	7212	5158
583	7224	5146
584	7236	5133
585	7247	5120
586	7259	5107
587	7271	5095
588	7283	5082
589	7295	5069
590	7307	5056
591	7319	5044
592	7332	5032
593	7346	5021
594	7358	5008
595	7371	4996
596	7383	4983
597	7394	4970
598	7406	4958
599	7418	4945
600	7430	4933
601	7442	4920
602	7454	4907
603	7466	4895
604	7478	4882
605	7489	4869
606	7502	4857
607	7513	4844
608	7526	4832
609	7539	4820
610	7552	4808
611	7564	4795
612	7576	4783
613	7587	4769
614	7599	4757
615	7610	4744
616	7622	4731
617	7634	4719
618	7646	4706
619	7658	4694
620	7670	4681
621	7682	4668
622	7694	4656
623	7706	4643
624	7718	4631
625	7730	4618
626	7743	4606
627	7757	4595
628	7769	4582
629	7781	4569
630	7793	4557
631	7805	4544
632	7817	4532
633	7828	4519
634	7839	4506
635	7851	4493
636	7863	4481
637	7875	4468
638	7887	4455
639	7898	4443
640	7910	4430
641	7921	4417
642	7933	4404
643	7945	4392
644	7959	4380
645	7970	4367
646	7982	4355
647	7995	4343
648	8007	4330
649	8019	4318
650	8031	4305
651	8043	4292
652	8055	4280
653	8067	4268
654	8079	4255
655	8091	4242
656	8103	4230
657	8115	4218
658	8127	4205
659	8139	4192
660	8153	4181
661	8166	4169
662	8177	4156
663	8189	4144
664	8201	4131
665	8213	4119
666	8225	4106
667	8237	4094
668	8250	4082
669	8262	4069
670	8274	4057
671	8286	4044
672	8298	4032
673	8310	4019
674	8322	4007
675	8334	3994
676	8346	3982
677	8361	3971
678	8373	3958
679	8385	3946
680	8397	3933
681	8410	3921
682	8422	3908
683	8433	3896
684	8446	3884
685	8458	3871
686	8470	3859
687	8482	3846
688	8494	3834
689	8507	3822
690	8518	3809
691	8530	3796
692	8542	3784
693	8555	3772
694	8568	3760
695	8581	3748
696	8593	3735
697	8604	3723
698	8616	3710
699	8629	3698
700	8641	3685
701	8653	3673
702	8665	3660
703	8677	3648
704	8689	3635
705	8700	3623
706	8712	3610
707	8723	3597
708	8735	3585
709	8747	3572
710	8758	3560
711	8771	3548
712	8785	3536
713	8796	3523
714	8807	3510
715	8819	3498
716	8831	3485
717	8842	3473
718	8854	3460
719	8865	3447
720	8877	3435
721	8889	3422
722	8900	3410
723	8912	3397
724	8924	3385
725	8936	3372
726	8948	3360
727	8960	3347
728	8973	3335
729	8986	3323
730	8999	3311
731	9010	3299
732	9022	3286
733	9035	3274
734	9046	3261
735	9058	3249
736	9069	3236
737	9082	3224
738	9094	3211
739	9105	3199
740	9117	3186
741	9130	3174
742	9142	3162
743	9153	3149
744	9165	3137
745	9179	3125
746	9192	3113
747	9204	3100
748	9216	3088
749	9228	3076
750	9240	3063
751	9252	3051
752	9264	3038
753	9276	3026
754	9287	3013
755	9300	3001
756	9312	2989
757	9324	2977
758	9336	2964
759	9348	2952
760	9360	2939
761	9372	2927
762	9385	2915
763	9398	2903
764	9410	2890
765	9422	2878
766	9434	2865
767	9446	2853
768	9458	2841
769	9470	2828
770	9482	2816
771	9494	2804
772	9506	2791
773	9518	2779
774	9530	2766
775	9541	2754
776	9553	2741
777	9565	2729
778	9577	2717
779	9590	2704
780	9603	2693
781	9616	2680
782	9628	2668
783	9640	2655
784	9652	2643
785	9664	2631
786	9676	2618
787	9689	2606
788	9701	2594
789	9712	2581
790	9725	2569
791	9737	2557
792	9749	2544
793	9761	2532
794	9773	2520
795	9785	2507
796	9798	2495
797	9811	2483
798	9823	2471
799	9834	2458
800	9847	2446
801	9860	2434
802	9873	2422
803	9886	2410
804	9899	2397
805	9911	2385
806	9923	2373
807	9935	2360
808	9947	2348
809	9959	2336
810	9971	2323
811	9983	2311
812	9995	2298
813	10009	2287
814	10021	2274
815	10033	2262
816	10045	2250
817	10058	2237
818	10069	2225
819	10081	2213
820	10093	2200
821	10105	2188
822	10117	2175
823	10129	2163
824	10140	2151
825	10153	2138
826	10165	2126
827	10176	2114
828	10188	2101
829	10200	2089
830	10212	2077
831	10225	2064
832	10238	2052
833	10250	2040
834	10263	2028
835	10275	2015
836	10287	2003
837	10299	1990
838	10310	1978
839	10322	1966
840	10334	1953
841	10347	1941
842	10359	1929
843	10370	1916
844	10382	1904
845	10394	1892
846	10406	1879
847	10419	1867
848	10433	1855
849	10445	1843
850	10457	1831
851	10469	1818
852	10481	1806
853	10493	1793
854	10505	1781
855	10519	1769
856	10533	1757
857	10548	1745
858	10561	1733
859	10573	1721
860	10584	1708
861	10597	1696
862	10610	1684
863	10623	1672
864	10636	1660
865	10648	1647
866	10660	1635
867	10672	1622
868	10683	1610
869	10695	1598
870	10707	1585
871	10718	1573
872	10730	1560
873	10742	1548
874	10753	1536
875	10764	1523
876	10775	1511
877	10786	1498
878	10798	1486
879	10808	1473
880	10819	1461
881	10832	1449
882	10844	1436
883	10856	1424
884	10867	1412
885	10879	1399
886	10890	1387
887	10901	1375
888	10913	1362
889	10924	1350
890	10938	1338
891	10951	1325
892	10965	1313
893	10976	1301
894	10987	1289
895	10998	1276
896	11009	1264
897	11020	1251
898	11032	1239
899	11045	1227
900	11059	1215
901	11073	1203
902	11086	1190
903	11097	1178
904	11108	1166
905	11119	1153
906	11130	1141
907	11141	1128
908	11152	1116
909	11163	1104
910	11174	1091
911	11186	1079
912	11197	1067
913	11208	1054
914	11219	1042
915	11231	1029
916	11243	1017
917	11255	1005
918	11266	993
919	11278	980
920	11289	968
921	11299	955
922	11311	943
923	11322	931
924	11333	918
925	11344	906
926	11355	894
927	11366	881
928	11377	869
929	11389	857
930	11401	844
931	11412	832
932	11424	820
933	11436	808
934	11449	795
935	11460	783
936	11472	771
937	11483	759
938	11496	746
939	11508	734
940	11521	722
941	11533	710
942	11547	697
943	11559	685
944	11571	673
945	11583	661
946	11595	648
947	11607	636
948	11619	624
949	11632	612
950	11645	600
951	11658	587
952	11671	575
953	11683	563
954	11695	551
955	11707	538
956	11719	526
957	11731	514
958	11743	502
959	11755	489
960	11767	477
961	11779	465
962	11791	453
963	11803	440
964	11815	428
965	11827	416
966	11839	404
967	11854	391
968	11867	379
969	11879	367
970	11891	355
971	11903	342
972	11915	330
973	11927	318
974	11939	306
975	11951	293
976	11963	281
977	11974	269
978	11987	257
979	11999	244
980	12011	232
981	12023	220
982	12036	208
983	12048	195
984	12062	183
985	12074	171
986	12086	159
987	12098	146
988	12110	134
989	12122	122
990	12133	110
991	12144	97
992	12156	85
993	12167	73
994	12178	61
995	12189	48
996	12200	36
997	12211	24
998	12223	12
999	12234	0
